"","HGNC.ID","Approved.symbol"
"388","HGNC:207","ADAM29"
"389","HGNC:208","ADAM30"
"390","HGNC:15479","ADAM32"
"391","HGNC:15478","ADAM33"
"392","HGNC:16299","ADAMDEC1"
"393","HGNC:217","ADAMTS1"
"394","HGNC:218","ADAMTS2"
"395","HGNC:219","ADAMTS3"
"396","HGNC:220","ADAMTS4"
"397","HGNC:221","ADAMTS5"
"398","HGNC:222","ADAMTS6"
"399","HGNC:223","ADAMTS7"
"400","HGNC:49407","ADAMTS7P1"
"401","HGNC:49409","ADAMTS7P3"
"402","HGNC:49410","ADAMTS7P4"
"403","HGNC:224","ADAMTS8"
"404","HGNC:13202","ADAMTS9"
"405","HGNC:40625","ADAMTS9-AS1"
"406","HGNC:42435","ADAMTS9-AS2"
"407","HGNC:13201","ADAMTS10"
"408","HGNC:14605","ADAMTS12"
"409","HGNC:1366","ADAMTS13"
"410","HGNC:14899","ADAMTS14"
"411","HGNC:16305","ADAMTS15"
"412","HGNC:17108","ADAMTS16"
"413","HGNC:17109","ADAMTS17"
"414","HGNC:17110","ADAMTS18"
"415","HGNC:17111","ADAMTS19"
"416","HGNC:40797","ADAMTS19-AS1"
"417","HGNC:17178","ADAMTS20"
"418","HGNC:14632","ADAMTSL1"
"419","HGNC:14631","ADAMTSL2"
"420","HGNC:14633","ADAMTSL3"
"421","HGNC:19706","ADAMTSL4"
"422","HGNC:32041","ADAMTSL4-AS1"
"423","HGNC:27912","ADAMTSL5"
"424","HGNC:16486","ADAP1"
"425","HGNC:16487","ADAP2"
"426","HGNC:225","ADAR"
"427","HGNC:226","ADARB1"
"428","HGNC:227","ADARB2"
"429","HGNC:23299","ADARB2-AS1"
"430","HGNC:228","ADAT1"
"431","HGNC:21172","ADAT2"
"432","HGNC:25151","ADAT3"
"433","HGNC:19038","ADCK1"
"434","HGNC:19039","ADCK2"
"435","HGNC:21738","ADCK5"
"436","HGNC:229","ADCP1"
"437","HGNC:232","ADCY1"
"438","HGNC:233","ADCY2"
"439","HGNC:234","ADCY3"
"440","HGNC:235","ADCY4"
"441","HGNC:236","ADCY5"
"442","HGNC:237","ADCY6"
"443","HGNC:238","ADCY7"
"444","HGNC:239","ADCY8"
"445","HGNC:240","ADCY9"
"446","HGNC:21285","ADCY10"
"447","HGNC:44143","ADCY10P1"
"448","HGNC:241","ADCYAP1"
"449","HGNC:242","ADCYAP1R1"
"450","HGNC:243","ADD1"
"451","HGNC:244","ADD2"
"452","HGNC:245","ADD3"
"453","HGNC:48682","ADD3-AS1"
"454","HGNC:247","ADFN"
"455","HGNC:21212","ADGB"
"456","HGNC:13838","ADGRA1"
"457","HGNC:49543","ADGRA1-AS1"
"458","HGNC:17849","ADGRA2"
"459","HGNC:13839","ADGRA3"
"460","HGNC:943","ADGRB1"
"461","HGNC:944","ADGRB2"
"462","HGNC:945","ADGRB3"
"463","HGNC:19893","ADGRD1"
"464","HGNC:18651","ADGRD2"
"465","HGNC:3336","ADGRE1"
"466","HGNC:3337","ADGRE2"
"467","HGNC:23647","ADGRE3"
"468","HGNC:19240","ADGRE4P"
"469","HGNC:1711","ADGRE5"
